County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Lancaster,SC,66,573,9.1,"23,560","40,520",6.3,13.6,12.6,14,15,14.5,11.5,7.1,5.5,72,26.9,0.4,0.2,0,2.8,99.5
Laurens,SC,62,723,10.3,"24,043","45,470",5.8,13.5,13.7,13.3,14.6,14.1,11.9,7.2,5.9,72.9,25.8,0.2,0.5,0.1,3,95.2
Lee,SC,4,227,11,"20,307","12,918",6.4,13,14.8,14.5,14.2,15.1,9.9,6.2,5.8,36.2,63.4,0.2,0.1,0,2.7,104.3
LeNAington,SC,400,"1,793",7.8,"31,575","142,083",6.7,13.8,12.9,13.4,15.4,15.4,11.4,6.4,4.7,83.3,14.3,1.1,0.4,0,3,95.6
McCormick,SC,8,114,11.3,"20,299","7,192",4.2,9.3,12.6,12.6,13.6,13.6,13.9,11.8,8.3,48,51.4,0.4,0,0,1,115.3
Marion,SC,42,350,10,"20,485","22,224",7,14,14.4,12.9,12.3,15.1,11.6,6.8,5.9,43,56.2,0.4,0.2,0,2.4,86.1
Marlboro,SC,23,304,10.7,"20,643","18,482",6.5,13.5,13.8,13.5,14.3,14.6,11.3,6.5,5.9,43.8,51.6,0.4,3.4,0,0.8,99
Newberry,SC,38,387,10.4,"23,901","23,881",6.5,12.7,13.8,13.2,14.2,13.8,11.5,7.4,7.1,67.1,31.8,0.3,0.3,0.2,6.8,96.5
Oconee,SC,147,684,9.9,"28,561","45,896",5.7,12.3,11.7,13.1,13.4,14.2,12.8,9.9,6.9,90.6,8.2,0.4,0.2,0,3.2,97.3
Orangeburg,SC,164,954,10.4,"24,002","57,037",6.9,13,18.1,11.4,12.5,13.7,10.9,7.3,6.3,35.5,62.9,0.5,0.4,0,1.2,86.2
Pickens,SC,170,875,7.8,"24,572","66,787",5.4,11.6,21.1,13.9,12.9,12.6,10,6.8,5.7,90.8,6.7,1.6,0.2,0,2.3,99.9
Richland,SC,"1,540","2,464",7.3,"31,518","198,703",6.7,12.7,18.5,14.2,14.6,14,9.6,5.2,4.5,49.7,46.6,2.1,0.3,0.1,3,93.7
Saluda,SC,6,193,10.3,"25,667","12,654",5.9,13.3,13,14.2,13.7,14.1,11.6,7.6,6.6,71.1,28.1,0,0.2,0.2,12.5,102.5
Spartanburg,SC,639,"2,615",9.9,"26,656","167,802",6.4,13.5,13.2,13.9,14.9,14.4,11.2,6.9,5.8,76.2,20.9,1.7,0.3,0,4.2,95.2
Sumter,SC,158,926,8.8,"25,042","64,144",7.9,14.7,15,11.9,14.3,14,10,6.7,5.4,50,47.5,1,0.3,0.1,2,93
Union,SC,32,378,13.2,"24,396","20,222",5.9,13.1,11.1,12.3,14,15.3,12.2,8.5,7.7,67.6,31.6,0.2,0.2,0,0.8,88.6
Williamsburg,SC,18,393,11,"20,005","23,189",6.7,14.3,14.6,11.4,12.7,15.1,11.7,7.2,6.1,32.3,67.2,0.2,0.2,0,0.8,90.5
York,SC,289,"1,392",7.6,"29,904","105,757",6.4,13.7,14.5,13.7,15.6,14.5,10.9,5.9,4.5,77.9,19.4,1.1,0.8,0,2.9,94.9
Aurora,SD,0,32,10.9,"28,465","2,020",5.4,13.4,14.7,8,11.6,14.4,11.4,10.7,10.4,96.7,0.3,0.1,2.8,0,3.3,106.2
Beadle,SD,29,199,12.4,"34,409","11,368",5.4,11.9,13.3,8.7,12.9,16.1,11.6,8.3,11.8,96.8,0.8,0.4,1.4,0,2,95.9
Bennett,SD,1,31,8.7,"23,627","1,972",9.5,18.1,17.2,11.2,12.7,11,8.2,6.6,5.5,40.5,0.4,0,52.7,0.1,2.9,99.5
Bon Homme,SD,6,69,9.7,"26,674","5,026",4.1,10.8,14.7,10.1,14.6,15.3,10.8,8,11.6,95,0.9,0.1,3.9,0,0.6,128.3
Brookings,SD,29,186,6.6,"30,409","14,819",5,9.3,31.1,14.6,9.9,11.6,7.6,4.8,6.1,95.7,0.5,2,1,0.1,1,102.1
Brown,SD,99,336,9.7,"38,579","22,959",6,11.8,15.3,11.5,12.9,14.7,10.7,7.6,9.4,95.1,0.4,0.5,3.1,0.1,1,92.7
Brule,SD,10,50,9.6,"27,561","3,371",5.9,15.1,15,8.6,12.8,15.5,9.9,7.5,9.5,88.9,0.4,0.5,9.8,0,0.5,91.2
Buffalo,SD,1,18,8.7,"15,784",948,13.7,18.8,19.1,11.7,11.4,11.2,7.3,4,2.8,17.2,0.2,0,82.5,0,1.2,99.2
Butte,SD,5,82,8.9,"24,594","5,859",6.1,13.2,14.9,9.9,12.9,16.9,10.8,7.8,7.6,96.5,0.2,0.2,2,0,3.1,95.4
Campbell,SD,0,12,7.5,"30,821","1,251",3.2,12.8,12.2,3.6,14.8,17,11.9,11.8,12.7,98.9,0,0.4,0.7,0,0.3,100.6
Charles MiNA,SD,8,96,10.6,"28,182","5,676",7.8,16.4,14.3,9.7,11.6,13,10.1,7.9,9.3,66.5,0.1,0.1,32.2,0,2.3,97.3
Clark,SD,0,44,11.3,"31,245","2,781",4.6,11.9,14.1,7.2,12.2,16.6,11.1,9.2,13.2,99,0.1,0.1,0.7,0,0.5,96.7
Clay,SD,20,100,7.7,"30,100","6,719",5.3,8.4,35.1,15.4,8.8,9.2,7.4,4.8,5.6,93.1,1,2.3,2.7,0,1.1,91.7
Codington,SD,59,222,8.6,"32,641","16,377",6.3,13.5,13.8,12.7,13.9,15.4,9.5,6.6,8.1,96.4,0.2,0.4,2.1,0,1.2,99.7
Corson,SD,0,45,10.3,"22,038","2,238",9.9,18.8,17.6,11.3,12.1,11.4,8.2,5.9,4.8,33.2,0.2,0,65.5,0,3.9,99.2
Custer,SD,11,67,8.5,"29,824","5,099",4.4,10.4,15.1,9.9,11,17.5,14.8,9.8,7.1,94.4,0.3,0.2,3.6,0,2.5,104.1
Davison,SD,46,210,11.1,"34,950","11,719",6.3,12.8,15.7,12.8,12.7,14.7,9.4,6.9,8.7,96.2,0.4,0.4,2.4,0,1.7,96.5
Day,SD,5,91,15.6,"28,637","4,354",5.5,11.7,13.4,6.6,12,16.3,12.3,9.2,13,90.3,0.2,0.1,8.9,0,0.9,97.4
Deuel,SD,3,61,14.2,"31,102","3,094",5.1,11.9,13.4,9.1,13,15.3,12,9.5,10.7,98.8,0.2,0.2,0.4,0,0.9,102.3
Dewey,SD,5,70,11.4,"21,688","3,107",11.8,18.1,18.8,10.7,13,12,7,4.6,4.1,24.8,0.3,0.2,73.8,0.1,2.3,94.4
Douglas,SD,3,38,11.5,"28,374","2,332",5,12,14,5.7,11.3,16.2,12.2,9.5,14.2,98.5,0,0.2,1.1,0,0.5,95.7
Edmunds,SD,4,58,14.2,"38,589","2,975",4.7,13.6,12,7.2,13.3,15.1,12.1,10.5,11.6,99.2,0.1,0.1,0.3,0,0.6,100.5
Fall River,SD,26,112,15.3,"27,432","5,313",4.5,10.8,13.2,7.7,10.3,16.2,14.2,11.6,11.6,91,0.5,0.3,6,0,2.2,105.4
Faulk,SD,0,29,11.9,"33,558","1,803",5,12,13.4,5.9,13.2,16,11.5,9.9,13,99.6,0.1,0,0.2,0,0.3,95.9
Grant,SD,7,103,13.7,"31,811","5,303",4.9,12.6,12.5,7.9,13.6,16.7,12.1,8.7,10.9,99,0,0.2,0.7,0,0.6,99.5
Gregory,SD,4,66,15.1,"30,929","3,367",4.2,11,12.8,6.1,11.4,17.4,12.5,10.6,14,92.8,0.1,0.3,6.7,0,1,95.4
Haakon,SD,5,26,13.2,"41,719","1,477",4,11.1,12.6,6.3,11.1,20.9,12.3,9.8,11.8,96.8,0,0.1,2.9,0,0.8,98.5
Hamlin,SD,0,74,13.2,"27,404","3,507",8.3,13.3,14.3,9.3,13.2,13.5,10.6,7.6,9.9,98.8,0.1,0.2,0.8,0,1.1,100.6
Hand,SD,3,50,14.7,"38,678","2,627",4.1,11.2,11.7,5,12.8,17.2,12.6,11.2,14.1,99.7,0.1,0.1,0.1,0,0.3,97.1
Hanson,SD,0,16,4.3,"24,903","1,962",7.7,13.9,13.7,13.7,13.8,14.3,9.7,6.4,6.8,99.8,0,0.1,0.1,0,0.1,101.7
Harding,SD,0,6,4.8,"28,066",850,4.6,12,14.4,7.3,13.7,20,12.2,7.3,8.5,98.2,0,0.3,1.5,0,1.1,104.7
Hughes,SD,29,119,7.1,"33,729","10,853",6,14.1,12.9,10.6,14.8,16.5,11.7,6.6,6.8,86.8,0.3,0.6,10.9,0,1.9,92.4
Hutchinson,SD,13,129,16.9,"30,368","5,629",5.3,12.3,12,7.9,11.5,14.5,10.9,10.4,15.1,99.1,0.1,0.1,0.7,0,0.6,95.7
Hyde,SD,0,25,15.4,"30,566","1,147",5.8,12.9,12.3,8.8,11,16.7,9.4,12.5,10.6,90.4,0.1,0,9.2,0,0.7,105.6
Jackson,SD,0,33,11.5,"19,535","1,662",9.4,16.3,18.4,9.9,12.4,12.5,9.2,5.9,6,45.2,0,0,53.9,0,0.8,98.6
Jerauld,SD,3,32,15,"34,182","1,661",4.9,8.6,12,8,11.3,17,12.4,10,15.9,99.1,0,0.3,0.6,0,0.3,99.4
Jones,SD,0,12,11.1,"31,730",811,5.2,10.6,14,6.4,11.7,21.3,12,7.7,10.9,96.3,0,0,3,0.1,1,99.4
Kingsbury,SD,7,93,16.9,"31,102","4,015",4.7,11.3,13.4,7.2,12.1,16.8,11.1,10.1,13.3,98.6,0,0.6,0.5,0,0.8,94.7
Lake,SD,9,103,9.4,"29,670","6,917",4.8,10.6,20.5,10.9,11.2,15.5,9.8,7.5,9.1,97.7,0.3,1,0.9,0,1.1,97.2
Lawrence,SD,52,197,8.8,"29,725","13,746",5.1,10.1,18.7,11.6,11.8,15.9,11.2,7.4,8.2,95.9,0.4,0.4,2.3,0,2.3,97.7
Lincoln,SD,142,209,6.6,"33,872","15,093",7.1,13.8,15.6,18.8,14.9,13.5,8.5,3.9,3.9,96.8,0.6,0.9,0.6,0,1,99.4
Lyman,SD,0,30,7.6,"24,947","2,344",8.9,16.5,14.3,10.1,13.1,14.8,9.8,6.8,5.8,61.1,0.1,0.6,37.3,0,0.7,104.3
McCook,SD,4,75,12.7,"28,706","3,827",6.7,14.2,13.6,8.6,13.6,15,10.4,7.2,10.7,99.2,0.1,0.3,0.4,0,1,98.7
McPherson,SD,3,37,13.8,"26,870","2,128",4.4,12.1,10.8,7.6,10.7,15.6,12,11.7,15.1,99.5,0,0.2,0.3,0,0.2,92.7
Marshall,SD,2,49,11.2,"31,260","3,111",4.1,13.3,13.8,7.3,12.8,15.9,12,9.1,11.7,91.9,0.1,0.1,7.8,0,1.1,100
Meade,SD,40,211,8.6,"33,875","14,816",7.2,14,15,12.8,14.3,15.5,10.6,5.8,4.9,93.1,1.7,0.7,2.1,0.1,3.5,101.6
Mellette,SD,0,33,15.9,"19,654","1,199",7.8,18,16.1,10,12.3,13.6,8.9,6.1,7.2,43.8,0,0.2,54.6,0,1.9,101.5
Miner,SD,0,32,12.1,"28,456","1,982",4.6,11.5,13.2,6.7,12.3,16.6,11.6,8.7,14.9,98.7,0.6,0.2,0.3,0,1,98.9
Minnehaha,SD,644,"1,024",6.5,"37,629","93,400",7.4,13.2,13.7,15.1,15.4,14.5,9.3,5.7,5.8,93.4,2,1,2.2,0.1,3.2,99.2
Moody,SD,2,57,8.7,"32,438","4,193",5.7,12.9,16,10.1,14,15.7,11.4,6.7,7.6,84.8,0.3,1.2,11.8,0,1.1,97.9
Pennington,SD,341,639,6.9,"32,887","55,535",7.6,13,14.6,13.5,13.5,15.1,10.1,6.6,6.1,87.3,1,0.7,8.2,0.1,3.1,98.2
Perkins,SD,0,38,12.2,"29,085","2,367",4.1,12.2,11.1,6.2,12.5,17.8,12.7,9.5,13.9,97.5,0.2,0.3,1.9,0,0.9,96.3
Potter,SD,4,33,13.4,"39,401","1,969",4.7,10.3,11,4,12.7,16.7,14.7,11.7,14.3,98.5,0,0.2,1.1,0,0.3,94.9
Roberts,SD,9,125,12.4,"26,296","6,301",7.2,14.8,14.7,9.9,12.1,14.4,10.8,8,8.3,65.7,0.1,0.2,32.4,0,1,99.8
Sanborn,SD,1,24,9.2,"40,726","1,788",5.1,11.9,13.6,9.1,12,18.5,11.3,9.1,9.5,98.8,0,0.4,0.6,0,1.3,104.9
Shannon,SD,11,135,10.1,"16,278","5,524",13.8,20.9,21.1,13,11.8,8.8,5.4,3.4,1.7,6.7,0.3,0,91.8,0.1,2.7,98.5
Spink,SD,9,66,9.5,"34,508","5,024",5.5,12.2,14.1,7.8,13.5,16.5,11.1,8.9,10.4,97.9,0.3,0.1,1.7,0,0.5,105.9
Stanley,SD,1,14,4.9,"38,041","1,823",6.7,12.1,13.4,10.1,15,16.4,13.8,6.9,5.6,94.3,0.3,0.4,4.6,0,0.5,98.4
Sully,SD,0,18,12.7,"49,119","1,065",6.2,11.9,12.4,7.6,14.5,17.5,12.3,9.1,8.4,98.4,0,0.1,1.3,0,0.8,105.5
Todd,SD,10,79,8.1,"15,611","4,173",13.5,21.5,19.4,11.8,11.3,10.5,6.2,3.4,2.3,15,0.2,0.2,83.2,0,2.7,96
Tripp,SD,7,65,10.6,"29,228","4,218",5.2,13.5,13.5,8.2,12.8,15.2,11,8.7,11.9,87.7,0,0.2,11.5,0,1,95.6
Turner,SD,7,100,11.6,"32,864","6,019",5,12.4,13.3,9.6,12.8,16.6,11.3,8.1,10.9,98.8,0.2,0.2,0.5,0,0.5,100.6
Union,SD,65,95,7.2,"43,056","8,262",6.2,13.8,12.6,11.4,14.6,16.4,12,6.3,6.8,96.6,0.4,1.7,0.6,0,1.8,101
Walworth,SD,7,98,17.7,"27,248","4,083",7.1,12.5,11.3,7.2,11.8,15.5,12.7,10.3,11.7,84.4,0,0.2,14.4,0,0.7,95.2
Yankton,SD,93,200,9.2,"28,928","14,178",5.5,12.7,14.1,11.7,14.8,15.7,10.6,6.6,8.2,95.8,1.5,0.5,1.6,0,2.6,105.9
0.01iebach,SD,0,5,1.9,"17,353","1,223",8.4,19.7,19.5,13.5,12.2,12,7.6,4.3,3,25.5,0,0.3,74,0,1.1,96.6
Anderson,TN,206,826,11.5,"29,007","49,499",5.5,11.9,12.1,11.8,14.2,15.5,12.5,8.1,8.3,93.4,3.9,1.1,0.3,0,1.4,92.6
Bedford,TN,31,392,9.5,"26,780","24,232",7.2,13.5,13.2,16.7,14.4,13.1,10.2,6.4,5.3,89.7,8,0.9,0.4,0.1,11.7,99.8
Benton,TN,7,216,13.1,"21,811","11,798",4.8,11.4,11.1,12.3,13.8,14.4,13.6,10,8.6,96.8,2.2,0.3,0.4,0,1.3,93.1
Bledsoe,TN,5,107,8.4,"21,481","8,455",4.7,11.6,12.6,14.9,16.1,14.7,12.5,7.7,5,95.6,3.5,0.1,0.3,0,1.3,119.2
Blount,TN,225,"1,160",10.2,"27,337","72,938",5.6,11.8,12.9,13.5,15.2,14.9,12,7.8,6.4,94.9,2.9,0.9,0.3,0,1.4,95.1
Bradley,TN,158,791,8.7,"28,400","57,163",6.2,12.4,14.1,14.6,14.7,13.8,11.3,7.5,5.3,93.6,4.2,0.8,0.3,0,3,96.3
Campbell,TN,40,460,11.3,"23,179","27,359",6,11.6,12.1,14.3,14.2,13.8,12.3,9,6.8,98.2,0.5,0.2,0.3,0,1,93.8
Cannon,TN,8,148,11.1,"26,465","8,486",5.2,13.3,12.6,13.5,15.6,14.2,11.6,8.4,5.8,97.5,1.6,0.1,0.4,0,2.1,96
Carroll,TN,28,396,13.5,"24,187","20,238",6,11.9,13.1,12,14.1,13.5,12.3,9.1,8.1,88,10.6,0.3,0.2,0,1.3,94
Carter,TN,57,645,11,"22,021","39,450",4.9,10.7,13.1,14.6,15.2,14.5,12.2,8.2,6.7,97.2,1.6,0.3,0.2,0,1.2,100.2
Cheatham,TN,22,276,7.3,"29,466","23,341",6.1,13.9,13.1,13.2,17.5,16.1,10.5,5.8,3.8,96.5,2.1,0.3,0.4,0,1.7,100.3
Chester,TN,5,132,8.3,"22,849","9,531",5.6,12.7,16.6,14.3,13.1,12.9,10.6,7.6,6.5,89.7,9.3,0.3,0.2,0,1.6,95.2
Claiborne,TN,25,330,10.7,"23,218","20,200",5.7,11.9,13.1,14,14.5,14.6,12.3,8.3,5.7,97.7,0.9,0.5,0.3,0,0.8,94
Clay,TN,4,116,14.5,"20,622","5,623",4.5,11.2,11.9,13.1,15.2,14.3,13.8,9.6,6.5,96.6,1.8,0.2,0.7,0.4,2.3,97.1
Cocke,TN,22,445,12.8,"19,870","23,070",5.9,11.8,11.7,14.2,14.5,14.9,12.8,8.5,5.7,96.3,2.1,0.3,0.4,0,1.3,94.9
Coffee,TN,106,581,11.6,"28,716","32,079",6.2,13,12.7,13.6,14.2,14.1,10.9,8.6,6.6,94.1,3.7,0.9,0.3,0.1,3.3,95.1
Crockett,TN,7,189,13,"24,599","9,690",6.5,13.1,12.9,12.6,14.6,13.8,11.1,8.2,7.2,85.9,13.4,0.2,0.2,0,7.5,92.8
Cumberland,TN,114,539,10.7,"24,633","33,595",4.9,11,11.2,12.5,13,12.4,11.9,12.8,10.3,98.4,0.4,0.3,0.2,0,1.3,95.4
Davidson,TN,"3,503","4,854",8.5,"42,192","377,734",7.6,11.9,13.3,15.9,15.9,14.5,9.7,5.9,5.3,67.8,27.5,2.8,0.3,0.1,6.6,95.1
Decatur,TN,9,168,14.4,"25,330","8,247",5.2,11.2,11.1,13.4,13.4,13.7,12.8,10.6,8.6,95.9,3.5,0.2,0.1,0,2.6,96.9
DeKalb,TN,17,226,12.4,"25,243","11,870",6.1,12,12.3,14.6,15.4,14.1,11.5,7.7,6.3,97.1,1.7,0.4,0.3,0,4.8,97.6
Dickson,TN,56,405,8.9,"26,509","28,108",6.7,13.6,13.1,13.7,15.5,14.4,10.7,7.2,5.1,93.6,4.4,0.4,0.5,0,1.7,96.9
Dyer,TN,66,403,10.7,"27,118","24,356",6.5,13.5,13.2,13.1,14.6,14.2,11.6,7.3,5.9,84.6,13.9,0.6,0.2,0,1.9,93.4
Fayette,TN,13,334,10,"29,856","18,991",5.9,12.6,14,16.3,14.2,14.2,10.8,6.8,5.3,69.6,28.2,1.2,0.2,0,1.9,98
Fentress,TN,13,202,11.9,"22,724","11,275",5.6,12.4,12.2,13.6,14.3,14.5,13,8.4,6,99.4,0.2,0.1,0.1,0,0.7,96.7
Franklin,TN,55,436,10.7,"24,312","25,963",5.5,11.6,15.7,12.3,13.2,14.6,11.7,8.5,6.8,92.9,5.5,0.6,0.2,0,2,95.8
Gibson,TN,43,653,13.6,"25,680","32,751",6.1,12.5,12,13,13.8,14,11.4,8.5,8.6,79.3,19.5,0.3,0.2,0,1.4,90.7
Giles,TN,30,398,13.6,"25,218","19,829",5.7,12.5,13.7,11.8,14.3,14.8,12.6,8.1,6.5,87.2,11.3,0.5,0.3,0,1,95.3
Grainger,TN,6,236,10.8,"21,817","14,210",5.9,11.9,11.6,14.6,15.4,14.6,12.3,8.4,5.3,98.7,0.6,0.1,0.1,0,1.3,99
Greene,TN,110,709,11,"30,371","43,752",5.5,11.5,12.6,13.4,14.7,14.2,12.5,9.1,6.6,96.8,2.1,0.3,0.2,0,1.6,95.7
Grundy,TN,8,166,11.5,"21,459","9,441",6.7,13,12.1,14.8,13.7,13.1,11.8,8.2,6.5,99,0.3,0.2,0.2,0,1,98
Hamblen,TN,145,625,10.5,"26,204","39,340",6.7,12.3,12,14.8,14.5,13.6,12.2,8.3,5.6,93.7,4.1,0.9,0.3,0.1,9.3,99.1
Hamilton,TN,"1,310","3,227",10.4,"34,799","207,180",6.2,11.9,14,12.5,14.1,15.2,11.9,7.5,6.6,76.4,20.6,1.5,0.3,0.1,2.4,92.7
Hancock,TN,4,71,10.6,"15,526","4,617",5.2,11.2,12.8,13.6,13.9,15.6,12.6,8.4,6.6,99,0.5,0.1,0.1,0,0.4,98.2
Hardeman,TN,14,276,9.8,"20,500","18,595",5.8,11.9,13.9,15.3,15.9,14.3,10.4,6.6,5.9,58.1,40.6,0.5,0.2,0,1.2,116.8
Hardin,TN,18,355,13.8,"25,315","17,644",5.3,12.2,12.1,12.8,13.7,14.8,12.8,9.1,7.1,95.2,3.7,0.3,0.3,0,1.2,96.7
Hawkins,TN,38,572,10.3,"23,450","37,146",5.6,12.1,11.5,13.9,15.3,14.5,12.8,8.3,6,97.4,1.7,0.3,0.1,0,0.9,95.3
Haywood,TN,15,214,10.9,"23,141","12,421",7.4,14.2,13.2,12.8,13.5,15.4,10.1,6.9,6.5,49,50.5,0.1,0.1,0.1,3.7,86.9
Henderson,TN,14,321,12.3,"24,073","17,140",6.7,12.7,12,14.2,14.7,14.1,11.8,7.7,6,91,8,0.2,0.1,0,1.1,93.4
Henry,TN,53,433,13.8,"25,383","21,791",5.4,11.5,11.9,12.4,13.3,14.6,12.7,9.9,8.5,90,8.6,0.3,0.2,0,1.2,94
Hickman,TN,10,215,9.1,"20,414","14,899",5.8,12.7,12.9,14.9,15.9,14.3,10.6,7.3,5.5,94.4,4.4,0.1,0.5,0,1.3,112.4
Houston,TN,3,107,13.5,"23,718","5,539",6.2,13,11.7,13.1,13,13.9,12.2,9.3,7.5,96.1,3.3,0.1,0.1,0,2.1,98.5
Humphreys,TN,11,227,12.5,"25,546","12,270",5.7,12.3,11.8,13.4,13.8,14.6,12.7,8.8,7,95.8,3.2,0.4,0.2,0,1.2,96.5
Jackson,TN,5,146,13.1,"23,406","7,671",4.5,11.8,11,13.9,14.6,15,13.4,9.2,6.6,98.8,0.6,0.1,0.1,0.1,1,97.2
Jefferson,TN,47,477,10,"23,497","29,455",5.3,11.9,14.4,14.3,14.8,13.3,11.7,8.5,5.7,96.4,2.1,0.4,0.4,0,2.1,98.1
Johnson,TN,12,208,11.5,"18,813","12,755",4.2,9.9,11.1,15.3,16.2,14.6,12.9,8.9,7.2,96.4,2.9,0.1,0.3,0,0.8,116.3
KnoNA,TN,"1,865","3,617",9,"32,815","252,530",6,11.7,15.3,13.8,14.8,14.8,10.9,6.7,5.9,88.2,8.7,1.6,0.3,0,1.7,94.7
Lake,TN,4,101,13.2,"16,744","5,492",4.6,9,16.8,17.9,15.8,13.3,9.3,7.3,6.2,65.9,33.2,0.2,0.4,0,1.1,167.7
Lauderdale,TN,10,286,10.7,"19,291","17,507",7.2,12.9,13.9,15.1,15.1,13.7,10.2,6.3,5.6,63.9,34.7,0.3,0.6,0,1.3,110.5
Lawrence,TN,32,485,11.9,"22,450","26,145",7,13.3,12.9,13,14.6,13.1,11.1,8.3,6.8,97.2,1.6,0.2,0.3,0,1.3,94.7
Lewis,TN,6,146,12.7,"20,564","7,466",6.5,13,13.1,12.8,14.1,14.4,12.3,7.8,5.9,97.4,1.8,0.3,0.1,0,1.2,97.9
Lincoln,TN,28,373,11.7,"26,478","21,361",5.9,12,13,12.2,14.7,14.8,11.5,8.8,7.1,91.1,6.9,0.4,0.5,0,1.8,95
Loudon,TN,55,455,10.8,"30,538","27,899",5.6,11.3,11.3,12.7,13.9,14.1,12.8,11,7.2,97.2,1.3,0.3,0.3,0,3.5,97.3
McMinn,TN,67,579,11.4,"24,528","33,110",5.8,12.6,12.6,13.5,14.4,14.4,12.1,8.2,6.5,93.5,4.5,0.7,0.3,0,2.3,94.9
McNairy,TN,17,313,12.5,"25,488","16,787",6.6,12.6,11.5,12.9,13.8,13.6,12.6,9,7.3,92.6,6.3,0.2,0.2,0,1.1,95.4
Macon,TN,8,235,11,"23,561","13,331",5.9,13.5,12.5,15.4,15.5,13.5,11.3,7,5.4,98.6,0.6,0.3,0.3,0.1,2.8,100.5
Madison,TN,422,870,9.2,"29,459","58,038",7,13.4,15,13.5,14.3,14.6,10.2,6.2,5.9,63.9,34.3,0.8,0.2,0,2.3,94
Marion,TN,23,296,10.7,"25,432","18,815",6.2,11.8,12.4,13.5,13.9,15.5,13.1,7.9,5.6,94.8,4.1,0.3,0.3,0,0.8,96.5
Marshall,TN,17,278,9.9,"24,844","17,615",6.3,13,12.8,14.2,14.9,15.3,11,6.4,6,91.6,7.5,0.2,0.2,0,3.6,97.2
Maury,TN,188,716,9.6,"27,775","45,288",6.7,13,13.4,14.3,14.5,15.7,10.5,6.4,5.5,84.8,13.3,0.5,0.3,0,4.2,96.4
Meigs,TN,5,116,10.1,"22,206","7,405",5.9,13,11.9,14.5,14.9,13.4,13.5,7.8,5.1,97.4,1.8,0.2,0.3,0,0.7,99.2
Monroe,TN,31,376,8.9,"22,552","25,955",6.2,12.7,13.1,14.6,14.3,13.3,11.8,7.9,6.1,95.7,2.1,0.6,0.3,0.1,2.7,97.8
Montgomery,TN,217,912,6.4,"31,812","79,823",8.2,15.5,15.4,16.8,15.8,12.3,7.9,4.8,3.3,74.4,20,1.9,0.5,0.3,5.5,100.1
Moore,TN,2,50,8.4,"26,701","3,939",4.6,12,12.6,12.7,14.4,14.1,13.7,8.5,7.2,96,3.4,0.2,0.1,0,0.7,101.8
Morgan,TN,4,199,9.9,"19,414","13,371",5.3,11.8,12.5,15.2,15.9,14.6,11.6,7.6,5.4,96.8,2.5,0.2,0.2,0,0.8,115.5
Obion,TN,45,358,11.1,"27,143","22,119",6.1,12.5,11.8,13.2,13.1,15.2,12.4,8.7,7,88.9,10.2,0.3,0.1,0.1,3.2,93.9
Overton,TN,22,254,12.4,"21,385","13,751",5.6,12,11.8,13.4,14.1,14.3,12.7,9.3,6.9,98.3,0.8,0.1,0.3,0.1,0.8,95.9
Perry,TN,3,96,12.6,"24,841","5,209",5.9,12.5,13.1,12.3,12.6,14.2,13,9.3,7.1,96,2.8,0.1,0.2,0.4,1.1,98.5
Pickett,TN,1,52,10.7,"20,405","3,466",5.3,10.8,12.6,11.8,12.9,13.8,13.7,12.1,6.9,98.5,1.2,0,0,0,1.1,102.1
Polk,TN,18,186,11.7,"24,245","11,113",5.7,12.1,10.9,14.1,14.7,14.1,13.3,8.8,6.2,98,0.8,0.2,0.1,0,0.9,98.2
Putnam,TN,164,615,9.4,"26,145","39,403",6.1,11.5,18.2,14.6,13.3,12.4,10.3,7.3,6.3,95.9,1.9,1,0.3,0.1,4.4,101
Rhea,TN,12,318,10.7,"22,757","18,894",6.6,12.2,13.9,13.5,13.6,14,12.3,7.9,6,96.1,2.2,0.4,0.4,0,2.2,94.8
Roane,TN,42,630,11.9,"27,584","36,455",5.1,11.5,11.7,12.2,13.7,15.5,13.5,9.1,7.6,95.2,2.9,0.5,0.2,0,0.9,95.2
Robertson,TN,54,525,8.9,"29,372","35,252",7.2,13.3,13.3,14.5,16.1,14.7,9.9,6.5,4.6,90.3,8.3,0.4,0.3,0,5.3,100.1
Rutherford,TN,349,"1,265",6,"29,784","109,913",7.1,13.7,16.9,16.8,16.1,13.3,8.4,4.5,3.2,84.6,11.3,2.6,0.3,0.1,4.8,100.3
Scott,TN,19,242,11.1,"19,632","13,480",7,13.3,12.9,15.3,14.4,13.8,11.5,6.7,5,98.5,0.4,0.2,0.2,0,0.6,98.7
Sequatchie,TN,8,101,8.2,"23,604","7,610",6.1,13.1,11.7,16.2,14.3,13.9,11.6,7.7,5.4,98.4,0.7,0.3,0.3,0,0.8,98.1
Sevier,TN,83,680,8.8,"28,029","48,843",5.9,11.8,11.9,14.4,14.9,14.9,12.3,8.2,5.6,97.5,0.8,0.6,0.3,0,1.8,96.4
Shelby,TN,"3,490","7,564",8.3,"36,160","558,056",7.7,14.7,14.6,13.6,14.9,14.9,9.8,5.3,4.5,45.6,51.3,2,0.2,0,3.4,92.3
