County,State,"Number of physicians, 2004",Number of deaths in 2004,Death Rate in 2004,Personal Income per capita 2004,Total Persons,% under 5 years,% 5- 14 years,% 15- 24 years,% 25- 34 years,% 35 - 44 years,% 45-54 years,% 55- 64 yrs,%65-74,75 +,white,african american,asian,american indian and alaska native,native hawaiian / other pacific islander,hispanic or latino,number of males per 100 females
Eddy,ND,1,44,16.8,"27,815","1,933",4.5,10.9,10.5,9.4,11.2,16.9,11,10.3,15.2,95.8,0.1,0.2,3.7,0,1.1,92.7
Emmons,ND,0,52,13.2,"28,284","3,125",4.2,11.9,9.7,4.6,12.5,15.4,13.5,11.5,16.8,99.4,0.1,0.2,0.1,0.3,1.5,97.7
Foster,ND,6,33,9.4,"28,857","2,569",5.1,12.1,11.8,9.3,13.6,15.5,10.7,10.5,11.5,99.1,0.1,0,0.5,0,0.9,98.8
Golden Valley,ND,2,16,9.1,"24,044","1,278",3.6,13.1,14,5.9,11.4,17.2,12.1,7.8,14.8,98.4,0.2,0.1,0.9,0,1.2,89
Grand Forks,ND,246,438,6.6,"29,746","37,366",5.9,10.8,24.8,15.7,12.3,12.6,8.2,4.6,5.2,93.1,1.3,1.2,2.7,0.1,2.4,104.3
Grant,ND,5,36,13.7,"25,551","2,044",2.8,9.7,11.9,6.8,11.2,17.5,15.2,10.6,14.4,97.9,0,0.3,1.6,0,1.1,105.3
Griggs,ND,6,40,15.8,"30,841","1,993",3.5,10.1,10.6,6.6,10.9,18.7,14.7,9,15.8,99.4,0,0.2,0.4,0,0.6,99.4
Hettinger,ND,0,29,11.4,"29,332","1,978",3,9.5,12.3,6.4,11.1,17.7,14.7,11.9,13.5,98.4,0.2,0.1,1.2,0.1,0.3,105.3
Kidder,ND,2,33,12.9,"29,991","1,982",4.5,9.8,10.7,5.7,12.9,19.3,13.5,10,13.6,99.5,0.2,0.1,0.2,0,1.5,103.9
LaMoure,ND,1,69,15.4,"36,907","3,297",4.6,10.4,11.2,7.4,11.5,17.8,12.6,10.4,14.1,99.5,0.1,0.1,0.2,0,0.6,102.8
